score,lg_sf_pred,lg_sf_heur,lg_sf_real
# threads = 40
# n = 50
# lgT = 40
# fft = 16
# satrat = 0.9
# radius = 1.18
# q = 3329
# doubledb = False
# exptime = False
# v = False
# N = 1768
# walltime = 410.787
# cputime = 9.274
# saturation radius = 1.18
194.141,-31.614,-34.820,-31.492
194.169,-31.619,-34.830,-31.496
194.225,-31.628,-34.848,-31.500
194.234,-31.630,-34.851,-31.504
194.263,-31.634,-34.860,-31.508
194.272,-31.636,-34.863,-31.512
194.307,-31.642,-34.875,-31.516
194.355,-31.650,-34.890,-31.520
194.376,-31.654,-34.897,-31.524
194.384,-31.655,-34.899,-31.528
194.393,-31.657,-34.902,-31.532
194.418,-31.661,-34.910,-31.536
194.442,-31.665,-34.918,-31.541
194.464,-31.668,-34.925,-31.545
194.509,-31.676,-34.940,-31.549
194.580,-31.688,-34.963,-31.553
194.621,-31.695,-34.976,-31.557
194.625,-31.695,-34.978,-31.561
194.722,-31.712,-35.009,-31.565
194.735,-31.714,-35.013,-31.570
194.779,-31.721,-35.028,-31.574
194.793,-31.723,-35.032,-31.578
194.811,-31.726,-35.038,-31.582
194.829,-31.729,-35.044,-31.586
194.832,-31.730,-35.045,-31.591
194.837,-31.731,-35.046,-31.595
194.843,-31.732,-35.049,-31.599
194.849,-31.733,-35.050,-31.603
194.870,-31.736,-35.057,-31.608
194.883,-31.738,-35.061,-31.612
194.917,-31.744,-35.072,-31.616
194.922,-31.745,-35.074,-31.621
194.943,-31.748,-35.081,-31.625
194.977,-31.754,-35.092,-31.629
194.980,-31.754,-35.093,-31.634
195.005,-31.758,-35.101,-31.638
195.028,-31.762,-35.109,-31.642
195.040,-31.764,-35.113,-31.647
195.092,-31.773,-35.129,-31.651
195.118,-31.777,-35.138,-31.656
195.124,-31.778,-35.140,-31.660
195.128,-31.779,-35.141,-31.665
195.135,-31.780,-35.143,-31.669
195.201,-31.791,-35.165,-31.674
195.202,-31.791,-35.165,-31.678
195.207,-31.792,-35.167,-31.683
195.230,-31.795,-35.174,-31.687
195.249,-31.799,-35.181,-31.692
195.276,-31.803,-35.189,-31.696
195.311,-31.809,-35.201,-31.701
195.373,-31.819,-35.221,-31.705
195.384,-31.821,-35.225,-31.710
195.398,-31.823,-35.229,-31.715
195.406,-31.824,-35.232,-31.719
195.409,-31.825,-35.233,-31.724
195.425,-31.827,-35.238,-31.729
195.444,-31.830,-35.244,-31.733
195.450,-31.831,-35.246,-31.738
195.472,-31.835,-35.253,-31.743
195.498,-31.839,-35.262,-31.747
195.625,-31.859,-35.303,-31.752
195.725,-31.875,-35.336,-31.757
195.800,-31.887,-35.360,-31.762
195.855,-31.896,-35.378,-31.766
195.882,-31.900,-35.387,-31.771
195.885,-31.901,-35.388,-31.776
195.893,-31.902,-35.391,-31.781
195.895,-31.903,-35.391,-31.786
195.929,-31.908,-35.402,-31.791
195.976,-31.915,-35.418,-31.795
195.979,-31.916,-35.419,-31.800
196.032,-31.924,-35.436,-31.805
196.082,-31.932,-35.452,-31.810
196.123,-31.939,-35.466,-31.815
196.130,-31.940,-35.468,-31.820
196.201,-31.951,-35.491,-31.825
196.215,-31.953,-35.496,-31.830
196.222,-31.954,-35.498,-31.835
196.241,-31.957,-35.505,-31.840
196.267,-31.961,-35.513,-31.845
196.294,-31.966,-35.522,-31.850
196.310,-31.968,-35.527,-31.855
196.310,-31.968,-35.527,-31.860
196.387,-31.980,-35.552,-31.866
196.477,-31.994,-35.582,-31.871
196.487,-31.996,-35.585,-31.876
196.502,-31.998,-35.590,-31.881
196.511,-31.999,-35.593,-31.886
196.564,-32.008,-35.610,-31.891
196.598,-32.013,-35.621,-31.897
196.602,-32.013,-35.623,-31.902
196.632,-32.018,-35.632,-31.907
196.717,-32.031,-35.661,-31.913
196.735,-32.034,-35.666,-31.918
196.772,-32.040,-35.678,-31.923
196.814,-32.046,-35.692,-31.929
196.883,-32.057,-35.715,-31.934
196.890,-32.058,-35.717,-31.939
196.914,-32.062,-35.725,-31.945
197.089,-32.088,-35.782,-31.950
197.138,-32.096,-35.799,-31.956
197.139,-32.096,-35.799,-31.961
197.375,-32.131,-35.877,-31.967
197.409,-32.136,-35.888,-31.972
197.434,-32.140,-35.896,-31.978
197.474,-32.146,-35.909,-31.983
197.484,-32.148,-35.913,-31.989
197.491,-32.149,-35.915,-31.994
197.554,-32.158,-35.935,-32.000
197.565,-32.160,-35.939,-32.006
197.577,-32.162,-35.943,-32.011
197.580,-32.162,-35.944,-32.017
197.644,-32.172,-35.965,-32.023
197.693,-32.179,-35.981,-32.028
197.706,-32.181,-35.986,-32.034
197.838,-32.200,-36.029,-32.040
197.871,-32.205,-36.040,-32.046
197.920,-32.212,-36.056,-32.052
197.928,-32.214,-36.059,-32.057
197.964,-32.219,-36.071,-32.063
198.010,-32.226,-36.086,-32.069
198.095,-32.238,-36.114,-32.075
198.236,-32.259,-36.160,-32.081
198.247,-32.260,-36.164,-32.087
198.344,-32.274,-36.196,-32.093
198.413,-32.284,-36.219,-32.099
198.472,-32.293,-36.239,-32.105
198.641,-32.317,-36.295,-32.111
198.667,-32.321,-36.303,-32.117
198.728,-32.330,-36.324,-32.123
198.746,-32.332,-36.329,-32.130
198.783,-32.337,-36.342,-32.136
198.808,-32.341,-36.350,-32.142
198.838,-32.345,-36.360,-32.148
198.843,-32.346,-36.361,-32.155
198.998,-32.368,-36.413,-32.161
199.085,-32.380,-36.442,-32.167
199.093,-32.381,-36.444,-32.173
199.105,-32.383,-36.448,-32.180
199.105,-32.383,-36.448,-32.186
199.142,-32.388,-36.461,-32.193
199.163,-32.391,-36.468,-32.199
199.179,-32.393,-36.473,-32.206
199.195,-32.396,-36.478,-32.212
199.245,-32.403,-36.495,-32.219
199.382,-32.422,-36.540,-32.225
199.384,-32.422,-36.541,-32.232
199.394,-32.423,-36.544,-32.238
199.401,-32.424,-36.547,-32.245
199.431,-32.429,-36.557,-32.252
199.436,-32.429,-36.558,-32.259
199.500,-32.438,-36.580,-32.265
199.511,-32.440,-36.583,-32.272
199.570,-32.448,-36.603,-32.279
199.581,-32.449,-36.607,-32.286
199.583,-32.450,-36.607,-32.293
199.648,-32.459,-36.629,-32.300
199.692,-32.465,-36.644,-32.307
199.706,-32.467,-36.648,-32.313
199.752,-32.473,-36.663,-32.321
199.761,-32.474,-36.667,-32.328
199.881,-32.491,-36.706,-32.335
199.887,-32.491,-36.708,-32.342
199.971,-32.503,-36.736,-32.349
200.047,-32.513,-36.762,-32.356
200.151,-32.527,-36.797,-32.363
200.238,-32.539,-36.825,-32.371
200.269,-32.543,-36.836,-32.378
200.276,-32.544,-36.838,-32.385
200.280,-32.545,-36.839,-32.393
200.294,-32.547,-36.844,-32.400
200.306,-32.548,-36.848,-32.408
200.334,-32.552,-36.858,-32.415
200.411,-32.562,-36.883,-32.423
200.452,-32.568,-36.897,-32.430
200.564,-32.583,-36.934,-32.438
200.615,-32.590,-36.951,-32.445
200.806,-32.615,-37.015,-32.453
200.845,-32.620,-37.028,-32.461
200.872,-32.624,-37.037,-32.469
201.017,-32.643,-37.086,-32.476
201.167,-32.663,-37.136,-32.484
201.235,-32.671,-37.159,-32.492
201.289,-32.678,-37.177,-32.500
201.293,-32.679,-37.178,-32.508
201.303,-32.680,-37.182,-32.516
201.314,-32.682,-37.185,-32.524
201.571,-32.715,-37.272,-32.532
